key	text	tooltip
#Loc;1;text/zzz_missing_locs_Tabletop_Combat_Sim.pack.loc		
effect_bundles_localised_title_tcs_army_controls	PLACEHOLDER	false
effect_bundles_localised_description_tcs_army_controls	PLACEHOLDER	false
effects_description_tcs_main_effect_ability_inactive_fighting	PLACEHOLDER	false
effects_description_tcs_main_effect_ability_inactive_shooting	PLACEHOLDER	false
effects_description_tcs_main_effect_ability_stationary	PLACEHOLDER	false
effects_description_tcs_main_effect_ability_disable_stationary	PLACEHOLDER	false
effects_description_tcs_main_effect_ability_disable_inactive_fighting	PLACEHOLDER	false
effects_description_tcs_main_effect_ability_disable_inactive_shooting	PLACEHOLDER	false
effects_description_tcs_army_enable_ai_controls	PLACEHOLDER	false
effects_description_tcs_ai_unit_passive_ranged_fix	PLACEHOLDER	false
